"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"221311","0","9","6","galongong","5"
"221315","0","7","6","galongong","20"
"221446","0","4","4","","120"
"221447","0","8","3","","20000"
"221447","1","9","4","","10000"
"221447","2","10","5","","24000"
"221447","3","11","2","","20000"
"221448","0","11","4","","21000"
"221448","1","12","4","","10000"
"221448","2","13","4","","20000"
"221448","3","14","2","","11000"
"221450","0","12","3","","1200"
"221450","1","13","4","","1300"
"221450","2","14","5","","1620"
"221452","0","10","4","","5600"
"221452","1","11","6","tuna","36"
"221454","0","9","2","","10"
"221454","1","10","4","","10"
"221454","2","11","6","tuna","100"
"221456","0","8","3","","25"
"221456","1","9","4","","15"
"221459","0","14","2","","12"
"221459","1","15","4","","10"
"221460","0","7","2","","25"
"221460","1","8","4","","10"
"221461","0","9","3","","1000"
"221461","1","10","3","","840"
"221461","2","11","5","","460"
"221466","0","8","4","","500"
"221466","1","9","5","","600"
"221466","2","10","3","","460"
"221469","0","10","3","","1680"
"221469","1","11","4","","1250"
"221469","2","12","6","fying fish","1235"
"221470","0","6","3","","2500"
"221470","1","7","5","","1280"
"221470","2","8","6","fying fish","1254"
"221472","0","6","4","","250"
"221472","1","7","5","","650"
"221475","0","12","4","","12000"
"221475","1","13","5","","36000"
"221476","0","6","4","","2500"
"221476","1","7","4","","3620"
"221476","2","8","6","fying fish","10500"
"221479","0","10","4","","2400"
"221479","1","11","6","fying fish","2500"
"221481","0","11","4","","110"
"221481","1","12","5","","320"
"221497","0","7","3","","24000"
"221497","1","8","5","","24000"
"221500","0","6","4","","12300"
"221500","1","7","3","","21300"
"221501","0","23","3","","200000"
"221501","1","24","4","","42000"
"221501","2","25","5","","32500"
"221503","0","12","3","","12000"
"221503","1","13","5","","20000"
"221504","0","10","4","","12000"
"221504","1","11","5","","21000"
"221531","0","7","4","","480"
"221531","1","8","2","","480"
"221532","0","3","3","","20"
"221532","1","4","4","","10"
"221534","0","10","4","","60"
"221534","1","11","6","fying fish","650"
"222274","0","6","6","mariano","80"
"222277","0","26","6","mariano","100"
"222284","0","9","6","tamban","50"
"226862","0","10","6","galunggong","60"
"226862","1","11","6","Buraw","50"
"226895","0","11","6","Buraw","100"
"226895","1","12","6","galunggong","100"
"227029","0","12","6","galunggong","100"
"227029","1","13","6","Buraw","100"
"227044","0","11","6","tambakul","100"
"227044","1","12","6","Buraw","100"
"227306","0","4","6","gangat,","3"
"227306","1","5","6","alibangbang","3"
"227306","2","6","6","sigapo","4"
"227306","3","7","6","bunak","4"
"227311","0","42","6","Samaria","8"
"227311","1","43","6","bunak","8"
"227315","0","10","6","bunak","100"
"227315","1","11","6","samaral","50"
"227318","0","17","6","bunak","3"
"227318","1","18","6","tilis","10"
"227318","2","19","6","samaral","10"
"227318","3","20","6","gangat","10"
"227318","4","21","6","bagulan","10"
"227320","0","14","6","bunak","12"
"227320","1","15","6","samaral","12"
"227397","0","7","6","galunggong","100"
"227397","1","8","6","tulingan","150"
"228713","0","5","6","crab","50"
"228736","0","5","6","oyster","130"
"228750","0","5","6","lapu-lapu","20"
"228755","0","11","6","eel","20"
"228755","1","12","6","rumpi","15"
"228799","0","13","6","haba","150"
"228800","0","21","6","tilis","25"
"228803","0","10","6","squid","20"
"228804","0","8","6","Octopus","4"
"228811","0","6","6","tilis","6"
"228815","0","13","6","octopus","6"
"228819","0","15","6","haba","20"
"228819","1","16","6","tapulok","50"
"228823","0","19","6","haba","20"
"228826","0","10","6","haba","120"
"228849","0","11","6","haba","20"
"228849","1","12","6","tilis","40"
"228855","0","6","6","squid","5"
"228855","1","7","6","haba","12"
"228855","2","8","6","octopus","3"
"228857","0","15","2","","10"
"228857","1","16","6","shrimp","15"
"228859","0","6","6","tilis","20"
"228861","0","9","6","haba","10"
"228861","1","10","6","octopus","3"
"228864","0","10","6","tilis","30"
"228870","0","6","6","tilis","40"
"228873","0","4","6","tilis","10"
"228874","0","4","6","tilis","25"
"228874","1","5","6","haba","30"
"228875","0","7","6","Samaral","40"
"228875","1","8","6","octopus","30"
"228876","0","8","6","tilis","50"
"228877","0","6","6","tapulok","600"
"228877","1","7","6","tilis","120"
"228878","0","5","6","tilis","50"
"231330","0","32","6","tingin","4"
"231338","0","11","6","manitis","5"
"231338","1","12","6","bisugo","5"
"231343","0","7","6","sihi","40"
"231350","0","12","6","tulingan","7200"
"231365","0","9","6","pangaluan","150"
"231369","0","17","6","flying fish","500"
"231370","0","9","6","tulingan","520"
"231382","0","8","6","tulingan","300"
"231409","0","5","6","lumahan","80"
"231413","0","6","6","tulingan","500"
"231418","0","13","6","tulingan","500"
"231419","0","5","6","tulingan","200"
"231421","0","14","6","tulingan","200"
"231423","0","10","6","tulingan","100"
"231427","0","6","6","squid","50"
"231427","1","7","6","haba","150"
"231429","0","1410578043251","6","tulingan","200"
"231437","0","6","6","lumahan","50"
"231444","0","7","6","Tagalog","500"
"231446","0","18","6","lumahan","50"
"231446","1","118","6","Talakitok","50"
"231447","0","12","6","flying fish","150"
"231451","0","10","6","kalapato","2"
"231451","1","11","6","haba","3"
"231451","2","12","3","","1"
"231452","0","11","6","tulingan","500"
"231802","0","32","1","","6"
"231814","0","11","1","","1"
"232431","0","16","6","tambakol","50"
"232441","0","8","6","yellowpin","100"
"232448","0","9","6","yellowpin","20"
"232451","0","9","6","yellowpin","180"
"232462","0","6","6","yellowpin","100"
"232468","0","10","6","yellowpin","1920"
"232481","0","11","6","yellowpin","350"
"232524","0","8","6","yellowpin","840"
"232534","0","7","6","yellowpin","50"
"232579","0","16","6","yellowpin","600"
"233333","0","6","6","dilis","2000"
"233339","0","8","6","flying fish","200"
"233913","0","17","6","pusit","80"
"233914","0","9","6","pusit","100"
"234003","0","9","6","pusit","5"
"235695","0","6","3","","12000"
"235695","1","7","4","","13000"
"235696","0","14","4","","260000"
"235696","1","15","5","","100000"
"236087","0","2","6","bangus","200000"
"236087","1","3","6","shrimps","250000"
"236087","2","4","6","crabs","150000"
"236093","0","13","6","yellowpin","100"
"236117","0","14","6","yellowpin","180"
"236122","0","14","6","samaral","300"
"236123","0","9","6","yellowpin","1000"
"236131","0","23","6","yellowpin","1000"
"236133","0","21","6","tambakol","500"
"236141","0","17","6","yellowpin","1200"
"236143","0","14","6","yellowpin","1000"
"236171","0","7","6","yellowpin","1000"
"236175","0","10","6","yellowpin","1000"
"236190","0","7","6","frying fish","50"
"236191","0","19","6","yellowpin","600"
"236200","0","12","6","yellowpin","700"
"236208","0","7","6","yellowpin","200"
"236256","0","12","6","samaral","1000"
"240762","0","10","6","shrimp","48"
"240764","0","24","6","shrimp","96"
"240764","1","25","6","mangagat","300"
"240765","0","5","6","flying fish","500"
"240768","0","11","6","shrimp","48"
"240772","0","7","6","buraw","50"
"240774","0","4","6","clams","50"
"240775","0","13","6","shrimp","192"
"240792","0","7","6","shrimp","168"
"240793","0","9","6","shrimp","84"
"240794","0","9","6","tilis","1460"
"240795","0","10","6","shrimp","54"
"240807","0","8","6","shrimp","42"
"240807","1","9","6","crab","48"
"240818","0","4","2","","900"
"240818","1","5","6","prawn","900"
"240831","0","9","2","","10000"
"240831","1","10","6","prawn","500"
"240845","0","7","6","shrimp","336"
"240851","0","6","6","shrimp","235"
"240853","0","7","6","shrimp","84"
"240855","0","12","6","shrimp","30"
"240859","0","8","6","shrimp","60"
"240873","0","11","6","shrimp","72"
"240886","0","5","6","shrimp","120"
"240903","0","8","6","shrimp","48"
"242471","0","24","6","haba","40"
"242473","0","19","6","tilis","50"
"242474","0","12","6","tilis","60"
"242479","0","17","6","tilis","60"
"242480","0","9","6","tilis","60"
"242481","0","4","6","tilis","15"
"242482","0","6","6","suso","0"
"242484","0","66","6","tilis","80"
"242486","0","14","6","tilis","80"
"242487","0","11","6","haba","70"
"242488","0","18","6","haba","80"
"242491","0","8","6","haba","120"
"242493","0","6","6","tilis","90"
"242494","0","40","6","haba","120"
"242494","1","41","6","flying fish","120"
"242495","0","8","6","tilis","80"
"242497","0","5","6","tilis","80"
"242502","0","5","6","tilis","20"
"242504","0","12","6","Samaral","140"
"242508","0","7","6","haba","50"
"242508","1","8","6","tilis","50"
