"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"101970","0","21","6","isdang bato","50"
"101972","0","6","6","Bisugo","100"
"101973","0","6","6","Isdang Bato","200"
"101975","0","10","6","Isdang bato","150"
"101977","0","8","6","Suno","25"
"101979","0","11","6","Suno","40"
"101981","0","5","6","suno","16"
"101983","0","4","6","suno","20"
"101987","0","13","6","isdang bato","100"
"101989","0","5","6","Suno","30"
"102001","0","22","6","Tuna","2000"
"102001","1","23","6","Galongong","6000"
"102002","0","57","6","Isdang Bato","650"
"102003","0","45","6","Bisugo","560"
"102003","1","46","6","Isdang Bato","250"
"102005","0","36","6","Bisugo","600"
"102008","0","37","6","Isdang Bato","650"
"102009","0","434","6","Suno","48"
"102009","1","435","6","Bisugo","500"
"102010","0","25","3","","250"
"102010","1","27","6","Isdang Bato","720"
"104108","0","26","6","leyen","16"
"104108","1","27","6","suno","12"
"104108","2","28","6","bulang bulang","18"
"104108","3","29","6","tiger","20"
"104109","0","15","6","lison","30"
"104109","1","16","6","tulingan","40"
"104109","2","17","6","barangbang","12"
"104109","3","18","6","leyen","16"
"104112","0","24","6","Suno","13"
"104112","1","25","6","Leyen","50"
"104112","2","26","6","Bisogo","300"
"104112","3","27","6","Ngirit ngirit","200"
"104112","4","28","6","Lapu lapu","100"
"104113","0","3","6","suno","5"
"104113","1","4","6","leyen","10"
"104113","2","5","6","lapu lapu","15"
"104113","3","6","6","calasi","18"
"105651","0","46","6","Suno","50"
"105651","1","47","6","bisugo","600"
"105653","0","21","6","Isdang Bato","600"
"105653","1","22","6","Suno","42"
"105654","0","25","6","Isdang Bato","600"
"105654","1","26","6","Suno","50"
"105656","0","37","6","Isdang Bato","650"
"105657","0","21","6","Bisugo","300"
"105657","1","22","6","Isdang Bato","560"
"105660","0","43","6","Isdang Bato","500"
"105660","1","44","6","Bisugo","650"
"105661","0","33","6","Suno","50"
"105661","1","34","6","Isdang Bato","700"
"105671","0","11","6","suno","6"
"105671","1","12","6","rompi","15"
"105671","2","13","6","tulingan","20"
"105671","3","14","6","leyen","30"
"105671","4","15","6","lapu lapu","10"
"105672","0","5","6","suno","17"
"105672","1","6","6","tulingan","16"
"105672","2","7","6","leyen","20"
"105673","0","18","6","dalagang bukid","20"
"105673","1","19","6","suno","10"
"105673","2","20","6","turingan","15"
"105673","3","21","6","kulamog","10"
"105673","4","22","6","leyen","20"
"105674","0","2","6","suno","12"
"105674","1","4","6","rompi","13"
"105675","0","5","6","suno","10"
"105675","1","6","6","bisugo","25"
"105675","2","7","6","ngirit ngirit","20"
"105675","3","8","6","tiger","19"
"105676","0","12","6","suno","13"
"105676","1","13","6","bulang bulang","28"
"105676","2","14","6","ngirit ngirit","50"
"105676","3","15","6","leyen","80"
"105677","0","7","6","bisogo","30"
"105677","1","8","6","ngirit ngirit","28"
"105677","2","9","6","kulamog","16"
"108009","0","10","3","","120"
"108009","1","11","6","suno","40"
"108009","2","12","6","pangalilen","200"
"108010","0","11","6","suno","120"
"108010","1","12","6","buhaybuhay","55"
"108010","2","13","6","kulamog","120"
"108011","0","9","6","suno","60"
"108011","1","10","6","ulpot","60"
"108011","2","11","3","","360"
"109725","0","9","6","suno","21"
"109726","0","35","6","suno","35"
"109727","0","10","6","suno","28"
"109779","0","10","6","suno","35"
"109780","0","9","6","suno","27"
"109782","0","8","6","suno","30"
"109783","0","12","6","suno","34"
"109784","0","15","6","suno","13"
"109785","0","18","6","isdang bato","150"
"109786","0","8","6","Isdang bato","360"
"109786","1","9","6","lapulapu","360"
"109786","2","10","6","suno","360"
"109787","0","7","6","suno","50"
"109787","1","8","6","leyen","700"
"109789","0","48","6","leyen","240"
"109789","1","49","6","barangbang","240"
"109790","0","12","6","buhay buhay","300"
"109790","1","13","6","leyen","300"
"109790","2","14","6","suno","24"
"109791","0","10","6","suno","48"
"109791","1","11","6","lapulapu","180"
"109792","0","15","6","kulamog","24"
"109792","1","16","6","bulang","300"
"109792","2","17","6","leyen","500"
"109793","0","10","6","lapulapu","12"
"109793","1","11","6","suno","36"
"109793","2","12","6","leyen","36"
"109794","0","11","6","sulig","200"
"109794","1","12","6","lapulapu","300"
"109794","2","13","6","leyen","120"
"109797","0","9","6","leyen","300"
"109797","1","10","6","palataw","300"
"109797","2","11","6","bisugo","300"
"109797","3","12","6","ubakan","300"
"109797","4","13","6","kalan","300"
"109798","0","6","3","","450"
"109798","1","7","6","lapulapu","60"
"109799","0","6","6","ulpot","120"
"109799","1","7","6","suno","36"
"109799","2","8","6","Isdang bato","720"
"109800","0","8","6","leyen","500"
"109800","1","9","6","lapulapu","60"
"109801","0","7","6","halohalo na daw","360"
"109802","0","9","6","barangbang","120"
"109802","1","10","6","leyen","720"
"109802","2","11","6","wis","720"
"109804","0","11","6","suno","60"
"109804","1","12","6","lapulapu","60"
"109804","2","13","6","bisugo","60"
"109808","0","10","6","suno","24"
"109808","1","11","6","kanuping","240"
"109808","2","12","6","taraketek","240"
"109809","0","5","6","suno","40"
"109809","1","6","6","ulpot","300"
"109809","2","7","6","dalagang bukid","300"
"109809","3","8","6","lison","180"
"109810","0","20","6","leyen","720"
"109810","1","21","6","bulang","180"
"109810","2","22","6","barangbang","24"
"109826","0","26","6","suno","50"
"109827","0","7","6","buhaybuhay","56"
"109827","1","8","6","kalasi","56"
"111202","0","7","6","suno","30"
"111203","0","5","6","suno","20"
"111204","0","5","6","suno","20"
"112233","0","12","6","Sono","40"
"112234","0","8","6","isdang bato","150"
"112235","0","10","6","Colamog","100"
"112235","1","11","6","Sono","150"
"112236","0","7","6","Le-yen","18"
"112236","1","8","6","Sono","25"
"112236","2","9","6","Bulang- bulang","25"
"112237","0","22","6","Bulang- bulang","50"
"112238","0","5","6","Sono","70"
"112238","1","6","6","Isdang Bato","70"
"112239","0","6","6","Sono","50"
"112239","1","7","6","Lapu- Lapu","30"
"112244","0","7","4","","25"
"112245","0","11","6","Sono","80"
"112245","1","12","6","Calasi","75"
"112247","0","11","6","Sono","25"
"112247","1","12","6","Bulang-bulang","30"
"112251","0","10","6","Bisugo","200"
"112252","0","16","6","Barangbang","130"
"112272","0","4","6","suno","40"
"112274","0","8","6","suno","50"
"112275","0","9","6","suno","35"
"112278","0","6","6","suno","5"
"112278","1","7","6","bisugo","100"
"112281","0","10","6","suno","42"
"112282","0","6","6","sono","31"
"112283","0","5","6","suno","45"
"112285","0","8","6","suno","38"
"112287","0","10","6","sono","40"
"112289","0","10","6","Bisugo","113"
"112291","0","5","6","suno","25"
"112292","0","5","6","sono","35"
"112295","0","123","6","bansay","20"
"112295","1","124","6","dangit","52"
"112297","0","28","6","isdang bato","600"
"112298","0","17","6","Isdang bato","45"
"112299","0","47","6","isdang bato","115"
"112300","0","9","6","suno","42"
"112303","0","12","6","suno","10"
"112303","1","13","6","isdang bato","160"
"112308","0","5","6","Bansay","53"
"112308","1","6","6","dangit","36"
"112308","2","7","6","suno","6"
"112310","0","5","6","Suno","32"
"112310","1","6","6","Bisugo","384"
"113788","0","6","6","Bisugo","120"
"113790","0","29","6","Dalangdang","100"
"113790","1","30","6","Bulang- bulang","100"
"113796","0","9","6","Mormor","220"
"113796","1","10","6","Taeban / Kogita","200"
"113797","0","12","6","Sono","300"
"113799","0","5","6","bisugo","350"
"113799","1","21","6","tiger","250"
"113801","0","7","6","bisugo","220"
"113801","1","36","6","isdang bato","300"
"113803","0","45","6","isdang bato","520"
"113804","0","15","3","","50"
"113804","1","16","6","Sono","40"
"113806","0","14","6","Calasi","120"
"113806","1","37","6","bisugo","180"
"113807","0","7","6","Sono","60"
"113808","0","13","6","isdang bato","285"
"113809","0","11","6","isdang bato","480"
"113810","0","9","6","sono","40"
"113811","0","7","6","isdang bato","285"
"113813","0","9","6","Sono","75"
"113814","0","8","6","bisugo","260"
"113815","0","9","6","bisugo","260"
"113816","0","10","6","bisugo","290"
"113818","0","6","6","isdang bato","60"
"113819","0","24","6","bisugo","300"
"113819","1","49","6","suno","10"
"113819","2","50","6","isdang bato","100"
"116773","0","7","6","buhaybuhay","56"
"116773","1","8","6","kalasi","56"
"116774","0","11","6","Isdang bato","700"
"116775","0","375","6","Isdang Bato","500"
"116775","1","376","6","Suno","100"
"116776","0","25","6","Isdang Bato ","750"
"116777","0","9","6","Isdang Bato","700"
"116777","1","20","6","bisogo","500"
"116778","0","29","6","Isdang bato","500"
"116778","1","30","6","Suno","50"
"116779","0","7","6","buhaybuhay","56"
"116779","1","8","6","kalasi","56"
"116780","0","10","6","tiger","120"
"116780","1","11","6","bulang","120"
"116780","2","12","6","leyen","120"
"116780","3","13","6","barangbang","120"
"116782","0","10","6","bisugo","600"
"116782","1","11","6","pagi","600"
"116782","2","12","6","isdang bato","720"
"116783","0","8","6","isdang bato","1200"
"116783","1","9","6","bulangbulang","120"
"116783","2","10","6","kalasi","720"
"116784","0","10","6","dalangdang","1200"
"116784","1","11","6","kalasi","720"
"116784","2","12","6","bisugo","1200"
"116786","0","11","6","isdang bato","600"
"116786","1","12","6","bisugo","600"
"116790","0","15","6","bisugo","900"
"116791","0","8","6","dalandang","720"
"116791","1","9","6","kalasi","720"
"116791","2","10","6","bisugo","720"
"116792","0","15","6","isdang bato","720"
"116792","1","16","6","bisugo","600"
"116792","2","17","3","","240"
"116792","3","18","6","leyen","120"
"116792","4","19","6","siga","120"
"116793","0","12","3","","600"
"116793","1","13","6","isdang bato","240"
"116793","2","14","6","bisugo","600"
"116794","0","10","6","isdang bato","720"
"116794","1","11","6","bisugo","480"
"116795","0","5","6","bisugo","600"
"116795","1","6","6","isdang bato","600"
"116795","2","7","3","","300"
"116796","0","11","6","isdang bato","720"
"116796","1","12","6","bisugo","1080"
"116799","0","7","6","isdang bato","230"
"116799","1","8","6","bisugo","195"
"116800","0","12","6","isdang bato","600"
"116800","1","13","6","bisugo","600"
"116801","0","14","6","bisugo","1560"
"116801","1","15","3","","240"
"116802","0","12","6","bisugo","1000"
"116805","0","9","6","bisugo","840"
"118116","0","7","6","bisugo","420"
"118116","1","8","6","isdang bato","480"
"118117","0","4","3","","480"
"118117","1","5","6","bisugo","600"
"118117","2","6","6","aloy","120"
"118124","0","9","6","isdang bato","480"
"118124","1","10","6","bisugo","1200"
"118139","0","20","6","lapulapu","12000"
"118139","1","21","6","bisugo","12000"
"118147","0","10","6","bisugo","480"
"118147","1","11","3","","480"
"118149","0","17","6","kadlitan","500"
"118149","1","18","6","bararawan ","240"
"118149","2","19","6","lunawan","600"
"118150","0","6","6","bisugo","600"
"118150","1","7","6","talingting","240"
"118154","0","17","3","","600"
"118154","1","18","6","bisugo","1020"
"118155","0","14","6","bisugo","728"
"118155","1","15","6","isdang bato","720"
"118155","2","16","3","","600"
"118156","0","8","3","","600"
"118156","1","9","6","bisugo","720"
"118157","0","19","3","","600"
"118157","1","20","6","bisugo","720"
"118158","0","9","3","","600"
"118158","1","10","6","bisugo","720"
"118162","0","10","6","karatkat","50"
"118162","1","11","6","bisogo","230"
"118162","2","12","6","ngirit ngirit","160"
"118162","3","13","6","leyen","80"
"118162","4","14","6","calase","200"
"118162","5","15","6","talingting","70"
"118162","6","16","6","siga","80"
"118162","7","17","6","suno","30"
"118163","0","8","6","aloy","100"
"118163","1","9","6","galonggong","90"
"118163","2","10","6","bisogo","140"
"118163","3","11","6","ngirit ngirit","100"
"118163","4","12","6","calase","80"
"118164","0","8","6","kalan","100"
"118164","1","9","6","leyen","180"
"118164","2","10","6","siga","350"
"118165","0","12","6","bisogo","200"
"118165","1","13","6","ngirit ngirit","200"
"118165","2","14","6","siga","200"
"118165","3","15","6","bulang bulang","100"
"118165","4","16","6","lapu lapu","100"
"118166","0","92","6","isdang bato","450"
"118167","0","11","6","bisogo ","300"
"118167","1","12","6","karatkat","200"
"118167","2","13","6","bulang bulang","300"
"118167","3","14","6","turingan","250"
"118168","0","7","6","Suno","30"
"118168","1","8","6","leyen","100"
"118168","2","9","6","tiger","100"
"118169","0","9","6","bisogo","200"
"118169","1","10","6","siga","220"
"118169","2","11","6","lapu lapu","100"
"118170","0","7","6","Bisogo","1000"
"118170","1","8","6","ngirit ngirit","900"
"118170","2","9","6","suno","50"
"118170","3","10","6","leyen","140"
"118171","0","8","6","bisogo","300"
"118171","1","9","6","ngirit ngirit","350"
"118171","2","10","6","suno","20"
"118171","3","11","6","lapu lapu","350"
"118171","4","12","6","siga","250"
"118172","0","19","6","bisogo","20"
"118172","1","20","6","ngirit ngirit","30"
"118172","2","21","6","ell","250"
"118172","3","22","6","suno","10"
"118172","4","23","6","tiger","280"
"118172","5","24","6","lapu lapu","100"
"118172","6","25","6","leyen","200"
"118174","0","10","6","galonggong","1000"
"118174","1","11","6","matambaka","1000"
"118174","2","12","6","tamban","1000"
"118174","3","13","6","aloy","1000"
"118174","4","14","6","pusit","1000"
"118175","0","78","6","Bisogo","1500"
"118175","1","79","6","Ngirit ngirit","1200"
"118175","2","80","6","Suno","300"
"118175","3","81","6","lapu lapu","800"
"118176","0","5","6","Bisogo","400"
"118176","1","6","6","Ngirit ngirit","280"
"118176","2","7","6","siga","130"
"118176","3","8","6","lapu lapu","150"
"118177","0","9","6","Bisogo","500"
"118177","1","10","6","Ngirit ngirit","450"
"118178","0","9","6","Bisogo","70"
"118178","1","10","6","Ngirit ngirit","50"
"118178","2","11","6","tiger","380"
"118178","3","12","6","lapu lapu","300"
"118178","4","13","6","siga","300"
"118179","0","6","6","Bisogo","1000"
