"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"112299","0","46","6","","1"
"112300","0","8","6","","1"
"112303","0","11","6","","1"
"112308","0","3","1","","1"
"112308","1","4","6","","1"
"112310","0","4","6","","2"
"113788","0","4","1","","1"
"113788","1","5","6","","1"
"113790","0","27","1","","1"
"113790","1","28","6","","2"
"113796","0","7","1","","1"
"113796","1","8","6","","1"
"113797","0","10","1","","1"
"113797","1","11","6","","1"
"113799","0","3","1","","1"
"113799","1","4","6","","1"
"113801","0","5","1","","1"
"113801","1","6","6","","1"
"113803","0","8","1","","1"
"113803","1","9","6","","1"
"113804","0","13","1","","1"
"113804","1","14","6","","1"
"113806","0","12","1","","1"
"113806","1","13","6","","1"
"113807","0","6","6","","1"
"113808","0","11","1","","1"
"113808","1","12","6","","2"
"113809","0","10","6","","1"
"113810","0","8","6","","1"
"113811","0","6","6","","2"
"113813","0","8","6","","1"
"113814","0","7","6","","2"
"113815","0","8","6","","1"
"113816","0","9","6","","1"
"113818","0","5","6","","2"
"113819","0","22","1","","1"
"113819","1","23","6","","1"
"116773","0","6","6","","1"
"116774","0","5","8","Pamboat","1"
"116775","0","364","1","","1"
"116776","0","5","1","","1"
"116776","1","6","6","Pamboat","1"
"116777","0","4","6","","1"
"116778","0","28","6","","1"
"116779","0","6","6","","1"
"116780","0","9","6","","1"
"116782","0","9","6","","1"
"116783","0","7","6","","1"
"116784","0","7","6","","1"
"116786","0","10","6","","1"
"116790","0","14","6","","1"
"116791","0","7","6","","2"
"116792","0","14","6","","1"
"116793","0","11","6","","1"
"116794","0","9","6","","1"
"116795","0","4","6","","1"
"116796","0","13","6","","1"
"116799","0","6","6","","1"
"116800","0","11","6","","1"
"116801","0","13","6","","1"
"116802","0","10","6","","1"
"116802","1","11","8","kemeng","1"
"116805","0","8","6","","1"
"118116","0","6","6","","2"
"118117","0","3","6","","1"
"118124","0","8","6","","1"
"118139","0","18","6","","1"
"118139","1","19","8","kemeng","1"
"118147","0","9","6","","1"
"118149","0","16","1","","1"
"118150","0","5","6","","1"
"118154","0","16","6","","1"
"118155","0","13","6","","2"
"118156","0","7","6","","1"
"118157","0","18","6","","1"
"118158","0","8","6","","1"
"118162","0","9","6","","1"
"118163","0","7","6","","1"
"118164","0","7","6","","1"
"118165","0","11","8","kitang","1"
"118166","0","91","6","","1"
"118167","0","10","6","","1"
"118168","0","5","6","","1"
"118168","1","6","8","pataw pataw","1"
"118169","0","8","6","","1"
"118170","0","4","6","","1"
"118170","1","5","8","timing","1"
"118170","2","6","8","pataw pataw","1"
"118171","0","5","6","","1"
"118171","1","6","8","timing","1"
"118171","2","7","8","Patawpataw","1"
"118172","0","17","6","","1"
"118172","1","18","8","patawpataw","1"
"118174","0","5","6","","1"
"118175","0","13","6","","1"
"118175","1","14","8","patawpataw","1"
"118175","2","15","8","timing","1"
"118176","0","4","6","","1"
"118177","0","8","6","","1"
"118178","0","8","6","","1"
"118179","0","5","8","timing","1"
"118180","0","8","6","","1"
"118181","0","13","8","Timing","1"
"118182","0","5","6","","1"
"118182","1","6","8","pataw pataw","1"
"118185","0","6","6","","1"
"118185","1","7","8","Patawpataw","1"
"118185","2","8","8","Timing","1"
"118187","0","8","6","","1"
"118187","1","9","8","Kitang","1"
"118187","2","10","8","pataw pataw","1"
"118188","0","7","6","","1"
"118188","1","8","8","Kitang","1"
"118189","0","15","6","","1"
"118189","1","16","8","Pataw pataw","1"
"118190","0","27","6","","1"
"120191","0","7","6","","1"
"120192","0","4","6","","1"
"120192","1","5","1","","1"
"120209","0","7","6","","2"
"120210","0","8","6","","1"
"120213","0","10","6","","1"
"120215","0","8","6","","1"
